Date Time,Water Level,Sigma,O,F,R,L,Quality
4/22/16 21:42,-0.46,8.00E-03,0,0,0,0,v
4/22/16 21:48,-0.39,8.00E-03,0,0,0,0,v
4/22/16 21:54,-0.33,8.00E-03,0,0,0,0,v
4/22/16 22:00,-0.27,8.00E-03,0,0,0,0,v
4/22/16 22:06,-0.21,7.00E-03,0,0,0,0,v
4/22/16 22:12,-0.16,7.00E-03,0,0,0,0,v
4/22/16 22:18,-0.1,6.00E-03,0,0,0,0,v
4/22/16 22:24,-0.05,6.00E-03,0,0,0,0,v
4/22/16 22:30,-0.01,6.00E-03,0,0,0,0,v
4/22/16 22:36,0.03,5.00E-03,0,0,0,0,v
4/22/16 22:42,0.07,6.00E-03,0,0,0,0,v
4/22/16 22:48,0.12,5.00E-03,0,0,0,0,v
4/22/16 22:54,0.16,5.00E-03,0,0,0,0,v
4/22/16 23:00,0.2,5.00E-03,0,0,0,0,v
4/22/16 23:06,0.24,5.00E-03,0,0,0,0,v
4/22/16 23:12,0.28,5.00E-03,0,0,0,0,v
4/22/16 23:18,0.32,5.00E-03,0,0,0,0,v
4/22/16 23:24,0.36,5.00E-03,0,0,0,0,v
4/22/16 23:30,0.4,5.00E-03,0,0,0,0,v
4/22/16 23:36,0.44,5.00E-03,0,0,0,0,v
4/22/16 23:42,0.48,5.00E-03,0,0,0,0,v
4/22/16 23:48,0.52,5.00E-03,0,0,0,0,v
4/22/16 23:54,0.56,4.00E-03,0,0,0,0,v
4/23/16 00:00,0.59,4.00E-03,0,0,0,0,v
4/23/16 00:06,0.63,4.00E-03,0,0,0,0,v
4/23/16 00:12,0.66,4.00E-03,0,0,0,0,v
4/23/16 00:18,0.68,4.00E-03,0,0,0,0,v
4/23/16 00:24,0.71,4.00E-03,0,0,0,0,v
4/23/16 00:30,0.74,3.00E-03,0,0,0,0,v
4/23/16 00:36,0.77,3.00E-03,0,0,0,0,v
4/23/16 00:42,0.79,3.00E-03,0,0,0,0,v
4/23/16 00:48,0.82,3.00E-03,0,0,0,0,v
4/23/16 00:54,0.84,3.00E-03,0,0,0,0,v
4/23/16 01:00,0.87,4.00E-03,0,0,0,0,v
4/23/16 01:06,0.89,4.00E-03,0,0,0,0,v
4/23/16 01:12,0.92,3.00E-03,0,0,0,0,v
4/23/16 01:18,0.95,3.00E-03,0,0,0,0,v
4/23/16 01:24,0.97,3.00E-03,0,0,0,0,v
4/23/16 01:30,1,3.00E-03,0,0,0,0,v
